date,market,open,close
2023-05-30,Kalyan,889,459
2023-05-30,Kalyan Morning,158,467
2023-05-30,Kalyan Night,124,166
2023-05-30,Madhur Day,123,455
2023-05-30,Madhur Morning,336,268
2023-05-30,Madhur Night,480,267
2023-05-30,Madhuri,379,125
2023-05-30,Madhuri Night,157,170
2023-05-30,Main Bazar,290,789
2023-05-30,Milan Day,179,770
2023-05-30,Milan Morning,100,128
2023-05-30,Milan Night,116,567
2023-05-30,Rajdhani Day,136,269
2023-05-30,Rajdhani Night,236,677
2023-05-30,Sridevi,256,145
2023-05-30,Sridevi Night,280,148
2023-05-30,Supreme Day,247,489
2023-05-30,Supreme Night,770,356
2023-05-30,Tara Mumbai Day,460,559
2023-05-30,Time Bazar,440,160
2023-05-31,Kalyan,345,479
2023-05-31,Kalyan Morning,179,470
2023-05-31,Kalyan Night,124,240
2023-05-31,Madhur Day,779,469
2023-05-31,Madhur Morning,388,158
2023-05-31,Madhur Night,789,590
2023-05-31,Madhuri,135,479
2023-05-31,Madhuri Night,179,590
2023-05-31,Main Bazar,460,247
2023-05-31,Milan Day,578,478
2023-05-31,Milan Morning,780,270
2023-05-31,Milan Night,450,558
2023-05-31,Rajdhani Day,570,380
2023-05-31,Rajdhani Night,355,469
2023-05-31,Sridevi,156,699
2023-05-31,Sridevi Night,470,399
2023-05-31,Supreme Day,567,260
2023-05-31,Supreme Night,267,469
2023-05-31,Tara Mumbai Day,348,670
2023-05-31,Time Bazar,467,180
2023-06-01,Kalyan,459,240
2023-06-01,Kalyan Morning,300,457
2023-06-01,Kalyan Night,800,168
2023-06-01,Madhur Day,233,560
2023-06-01,Madhur Morning,189,168
2023-06-01,Madhur Night,479,140
2023-06-01,Madhuri,288,340
2023-06-01,Madhuri Night,233,338
2023-06-01,Main Bazar,180,116
2023-06-01,Milan Day,566,358
2023-06-01,Milan Morning,588,189
2023-06-01,Milan Night,770,379
2023-06-01,Rajdhani Day,390,189
2023-06-01,Rajdhani Night,389,479
2023-06-01,Sridevi,260,168
2023-06-01,Sridevi Night,448,258
2023-06-01,Supreme Day,125,134
2023-06-01,Supreme Night,156,369
2023-06-01,Tara Mumbai Day,578,389
2023-06-01,Time Bazar,368,250
2023-06-02,Kalyan,157,179
2023-06-02,Kalyan Morning,257,247
2023-06-02,Kalyan Night,133,260
2023-06-02,Madhur Day,246,248
2023-06-02,Madhur Morning,234,139
2023-06-02,Madhur Night,330,133
2023-06-02,Madhuri,112,337
2023-06-02,Madhuri Night,368,459
2023-06-02,Main Bazar,688,569
2023-06-02,Milan Day,125,238
2023-06-02,Milan Morning,799,450
2023-06-02,Milan Night,259,160
2023-06-02,Rajdhani Day,280,356
2023-06-02,Rajdhani Night,556,357
2023-06-02,Sridevi,680,129
2023-06-02,Sridevi Night,558,789
2023-06-02,Supreme Day,460,367
2023-06-02,Supreme Night,337,139
2023-06-02,Tara Mumbai Day,115,688
2023-06-02,Time Bazar,560,669
2023-06-03,Kalyan,346,138
2023-06-03,Kalyan Morning,236,127
2023-06-03,Madhur Day,390,468
2023-06-03,Madhur Morning,558,177
2023-06-03,Madhur Night,458,124
2023-06-03,Madhuri,570,446
2023-06-03,Madhuri Night,467,346
2023-06-03,Milan Day,167,679
2023-06-03,Milan Morning,135,799
2023-06-03,Milan Night,240,347
2023-06-03,Rajdhani Day,160,677
2023-06-03,Sridevi,800,379
2023-06-03,Sridevi Night,346,256
2023-06-03,Supreme Day,150,589
2023-06-03,Supreme Night,467,489
2023-06-03,Tara Mumbai Day,137,144
2023-06-03,Time Bazar,378,266
2023-06-04,Kalyan Morning,578,135
2023-06-04,Madhur Day,780,770
2023-06-04,Madhur Morning,236,900
2023-06-04,Madhuri,270,239
2023-06-04,Milan Morning,148,128
2023-06-04,Sridevi,125,489
2023-06-04,Sridevi Night,290,670
2023-06-04,Supreme Day,168,380
2023-06-04,Supreme Night,359,299
2023-06-05,Kalyan,447,800
2023-06-05,Kalyan Morning,369,259
2023-06-05,Kalyan Night,599,289
2023-06-05,Madhur Day,223,578
2023-06-05,Madhur Morning,900,689
2023-06-05,Madhur Night,399,147
2023-06-05,Madhuri,122,158
2023-06-05,Madhuri Night,378,134
2023-06-05,Main Bazar,489,488
2023-06-05,Milan Day,567,135
2023-06-05,Milan Morning,229,199
2023-06-05,Milan Night,234,490
2023-06-05,Rajdhani Day,234,667
2023-06-05,Rajdhani Night,379,230
2023-06-05,Sridevi,578,114
2023-06-05,Sridevi Night,246,158
2023-06-05,Supreme Day,169,245
2023-06-05,Supreme Night,668,280
2023-06-05,Tara Mumbai Day,127,359
2023-06-05,Time Bazar,567,490
2023-06-06,Kalyan,267,224
2023-06-06,Kalyan Morning,126,469
2023-06-06,Kalyan Night,249,330
2023-06-06,Madhur Day,160,559
2023-06-06,Madhur Morning,357,135
2023-06-06,Madhur Night,669,170
2023-06-06,Madhuri,469,579
2023-06-06,Madhuri Night,568,368
2023-06-06,Main Bazar,278,467
2023-06-06,Milan Day,268,230
2023-06-06,Milan Morning,155,467
2023-06-06,Milan Night,588,450
2023-06-06,Rajdhani Day,460,157
2023-06-06,Rajdhani Night,179,160
2023-06-06,Sridevi,239,278
2023-06-06,Sridevi Night,135,127
2023-06-06,Supreme Day,459,468
2023-06-06,Supreme Night,450,466
2023-06-06,Tara Mumbai Day,137,899
2023-06-06,Time Bazar,247,550
2023-06-07,Kalyan,499,460
2023-06-07,Kalyan Morning,256,119
2023-06-07,Kalyan Night,166,149
2023-06-07,Madhur Day,149,660
2023-06-07,Madhur Morning,116,490
2023-06-07,Madhur Night,367,148
2023-06-07,Madhuri,156,468
2023-06-07,Madhuri Night,235,127
2023-06-07,Main Bazar,460,799
2023-06-07,Milan Day,790,189
2023-06-07,Milan Morning,337,469
2023-06-07,Milan Night,255,337
2023-06-07,Rajdhani Day,135,340
2023-06-07,Rajdhani Night,589,167
2023-06-07,Sridevi,190,146
2023-06-07,Sridevi Night,557,199
2023-06-07,Supreme Day,255,455
2023-06-07,Supreme Night,123,279
2023-06-07,Tara Mumbai Day,688,228
2023-06-07,Time Bazar,267,389
2023-06-08,Kalyan,336,248
2023-06-08,Kalyan Morning,289,159
2023-06-08,Kalyan Night,120,146
2023-06-08,Madhur Day,469,133
2023-06-08,Madhur Morning,240,136
2023-06-08,Madhur Night,279,300
2023-06-08,Madhuri,129,157
2023-06-08,Madhuri Night,450,389
2023-06-08,Main Bazar,150,126
2023-06-08,Milan Day,578,369
2023-06-08,Milan Morning,169,336
2023-06-08,Milan Night,349,370
2023-06-08,Rajdhani Day,244,789
2023-06-08,Rajdhani Night,588,134
2023-06-08,Sridevi,233,678
2023-06-08,Sridevi Night,118,270
2023-06-08,Supreme Day,889,339
2023-06-08,Supreme Night,559,347
2023-06-08,Tara Mumbai Day,278,118
2023-06-08,Time Bazar,889,589
2023-06-09,Kalyan,569,479
2023-06-09,Kalyan Morning,490,480
2023-06-09,Kalyan Night,156,349
2023-06-09,Madhur Day,247,559
2023-06-09,Madhur Morning,578,126
2023-06-09,Madhur Night,489,458
2023-06-09,Madhuri,236,569
2023-06-09,Madhuri Night,149,680
2023-06-09,Main Bazar,114,120
2023-06-09,Milan Day,236,389
2023-06-09,Milan Morning,267,167
2023-06-09,Milan Night,567,258
2023-06-09,Rajdhani Day,257,129
2023-06-09,Rajdhani Night,560,247
2023-06-09,Sridevi,890,140
2023-06-09,Sridevi Night,678,236
2023-06-09,Supreme Day,136,679
2023-06-09,Supreme Night,660,338
2023-06-09,Tara Mumbai Day,500,248
2023-06-09,Time Bazar,460,199
2023-06-10,Kalyan,237,270
2023-06-10,Kalyan Morning,660,370
2023-06-10,Madhur Day,166,480
2023-06-10,Madhur Morning,556,246
2023-06-10,Madhur Night,224,470
2023-06-10,Madhuri,135,124
2023-06-10,Madhuri Night,679,359
2023-06-10,Milan Day,680,388
2023-06-10,Milan Morning,458,129
2023-06-10,Milan Night,589,680
2023-06-10,Rajdhani Day,117,466
2023-06-10,Sridevi,229,157
2023-06-10,Sridevi Night,390,450
2023-06-10,Supreme Day,246,249
2023-06-10,Supreme Night,340,160
2023-06-10,Tara Mumbai Day,220,137
2023-06-10,Time Bazar,899,679
2023-06-11,Kalyan Morning,557,588
2023-06-11,Madhur Day,128,348
2023-06-11,Madhur Morning,590,135
2023-06-11,Madhuri,269,256
2023-06-11,Milan Morning,340,667
2023-06-11,Sridevi,899,159
2023-06-11,Sridevi Night,146,269
2023-06-11,Supreme Day,159,157
2023-06-11,Supreme Night,238,136
2023-06-12,Kalyan,469,688
2023-06-12,Kalyan Morning,167,246
